# TACO-X opt-level 3, default config — March 1, 2026
# Source: taco-x-tp4-optlevel3-defaults-20260301-093141.csv
# 10 requests per config

prompt_size,concurrency,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,e2e_p50_s,e2e_p90_s,e2e_p99_s,throughput_tok_s
short,1,760.9,953.5,1011.8,6.8,8.6,8.7,2.54,2.94,3.18,971.8
short,5,856.8,916.1,916.2,20.6,21.2,21.3,6.12,6.13,6.13,418.2
short,10,808.4,7272.4,7280.8,27.4,30.4,31.4,8.52,11.12,11.13,296.1
medium,1,677.0,777.1,871.5,8.0,8.1,9.4,2.71,2.82,3.07,927.2
medium,5,727.8,760.1,761.9,21.9,22.0,22.1,6.30,6.33,6.33,406.0
medium,10,814.6,7413.3,7715.9,27.0,32.6,36.8,8.02,13.71,14.85,272.7
long,1,676.6,722.7,974.2,6.8,7.0,7.2,2.42,2.47,2.52,1051.9
long,5,905.2,1097.8,1099.4,21.2,21.4,21.7,6.33,6.51,6.51,404.3
long,10,801.6,6798.8,7446.6,29.8,29.8,29.8,8.40,9.87,10.38,302.6

turn,prompt_tokens,completion_tokens,ttft_ms,tpot_ms,e2e_s,tok_s
1,29,256,694.9,10.3,3.33,76.8
2,310,256,688.1,19.2,5.59,45.8
3,587,256,831.0,25.1,7.23,35.4
4,872,256,765.4,22.7,6.55,39.1
5,1156,256,756.1,27.1,7.66,33.4
