# vLLM 0.16.0 with CUDA graphs (capture sizes 1,2,4,8) — March 1, 2026
# Source: vllm-tp4-cudagraph-20260301.csv
# 10 requests per config

prompt_size,concurrency,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,e2e_p50_s,e2e_p90_s,e2e_p99_s,throughput_tok_s
short,1,586.3,630.2,649.1,26.5,26.5,26.6,7.35,7.39,7.4,348.2
short,5,636.1,650.5,652.0,28.7,28.8,28.8,7.96,7.97,7.97,322.1
short,10,657.2,664.5,666.5,30.1,30.1,30.2,8.34,8.35,8.35,307.1
medium,1,575.1,619.4,621.0,26.5,26.5,26.6,7.34,7.37,7.38,348.5
medium,5,619.5,633.5,636.8,28.7,28.8,28.8,7.94,7.96,7.96,322.5
medium,10,667.3,670.9,671.1,30.3,30.3,30.3,8.39,8.39,8.39,305.3
long,1,579.6,591.5,628.9,26.6,26.6,26.6,7.36,7.36,7.37,348.0
long,5,632.0,664.9,666.7,29.0,29.1,29.1,8.02,8.06,8.06,318.9
long,10,686.8,695.0,699.4,31.0,31.1,31.2,8.60,8.61,8.61,297.8

turn,prompt_tokens,completion_tokens,ttft_ms,tpot_ms,e2e_s,tok_s
1,29,256,558.5,26.6,7.33,34.9
2,310,256,603.4,26.5,7.37,34.7
3,587,256,614.8,26.5,7.37,34.7
4,872,256,713.9,26.2,7.39,34.6
5,1156,256,598.1,26.6,7.38,34.7
